*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 1987 226    48    13  14.1   0.0  14.1  0.00  2.30  55.8   9.4   4.7  2.30  2.30  0.00  0.91   0.15   1.24
 1987 227    49    14  18.4   0.0  18.4  0.00  2.88  60.4  12.0   6.4  2.88  2.88  0.00  0.97   0.18   1.24
 1987 228    50    15  21.8   0.0  21.8  0.00  3.21  63.9  13.9   7.9  3.21  3.21  0.00  1.01   0.22   1.24
 1987 229    51    16  24.3   0.0  24.3  0.00  3.32  66.5  15.3   8.9  3.32  3.32  0.00  1.02   0.26   1.24
 1987 230    52    17  25.9   0.0  25.9  0.00  3.28  68.3  16.2   9.7  3.28  3.28  0.00  1.02   0.31   1.24
 1987 231    53    18  27.0   0.0  27.0  0.00  3.02  69.5  16.6  10.5  3.02  3.02  0.00  0.98   0.36   1.24
 1987 232    54    19  27.9   0.0  27.9  0.00  2.82  70.5  16.9  11.0  2.82  2.82  0.00  0.94   0.42   1.24
 1987 233    55    20  28.6   0.0  28.6  0.00  2.73  71.2  17.1  11.5  2.73  2.73  0.00  0.93   0.49   1.24
 1987 234    56    21  28.8   0.0  28.8  0.00  2.62  71.4  17.0  11.8  2.62  2.62  0.00  0.91   0.56   1.24
 1987 235    57    22  28.8   0.0  28.8  0.00  2.49  71.4  16.6  12.2  2.49  2.49  0.00  0.88   0.65   1.24
 1987 236    58    23  28.8   0.0  28.8  0.00  2.38  71.4  16.4  12.4  2.38  2.38  0.00  0.86   0.74   1.24
 1987 237    59    24  28.8   0.0  28.8  0.00  2.28  71.4  16.1  12.7  2.28  2.28  0.00  0.84   0.84   1.24
 1987 238    60    25  28.8   0.0  28.8  0.00  2.18  71.4  15.7  13.1  2.18  2.18  0.00  0.82   0.96   1.24
 1987 239    61    26  28.8   0.0  28.8  0.00  2.07  71.4  15.3  13.5  2.07  2.07  0.00  0.80   1.07   1.24
 1987 240    62    27  28.8   0.0  28.8  0.00  1.97  71.4  14.9  13.9  1.97  1.97  0.00  0.78   1.20   1.24
 1987 241    63    28  28.8   0.0  28.8  0.00  1.90  71.4  14.6  14.2  1.90  1.90  0.00  0.76   1.34   1.24
 1987 242    64    29  28.8   0.0  28.8  0.00  1.83  71.4  14.3  14.5  1.83  1.83  0.00  0.75   1.48   1.24
 1987 243    65    30  28.8   0.0  28.8  0.00  1.79  71.4  14.1  14.7  1.79  1.79  0.00  0.74   1.63   1.24
 1987 244    66    31  28.8   0.0  28.8  0.00  1.75  71.4  13.9  14.9  1.75  1.75  0.00  0.73   1.79   1.24
 1987 245    67    32  28.8   0.0  28.8  0.00  1.72  71.4  13.7  15.1  1.72  1.72  0.00  0.73   1.95   1.24
 1987 246    68    33  28.8   0.0  28.8  0.00  1.69  71.4  13.5  15.3  1.69  1.69  0.00  0.72   2.12   1.24
 1987 247    69    34  28.8   0.0  28.8  0.00  1.66  71.4  13.4  15.4  1.66  1.66  0.00  0.72   2.30   1.24
 1987 248    70    35  28.8   0.0  28.8  0.00  1.63  71.4  13.2  15.6  1.63  1.63  0.00  0.72   2.49   1.24
 1987 249    71    36  28.8   0.0  28.8  0.00  1.62  71.4  13.1  15.7  1.62  1.62  0.00  0.72   2.68   1.24
 1987 250    72    37  28.8   0.0  28.8  0.00  1.60  71.4  13.0  15.8  1.60  1.60  0.00  0.72   2.88   1.24
 1987 251    73    38  28.8   0.0  28.8  0.00  1.57  71.4  12.9  15.9  1.57  1.57  0.00  0.71   3.09   1.24
 1987 252    74    39  28.8   0.0  28.8  0.00  1.56  71.4  12.8  16.0  1.56  1.56  0.00  0.71   3.31   1.24
 1987 253    75    40  28.8   0.0  28.8  0.00  1.54  71.4  12.7  16.1  1.54  1.54  0.00  0.72   3.53   1.24
 1987 254    76    41  28.8   0.0  28.8  0.00  1.52  71.4  12.6  16.2  1.52  1.52  0.00  0.71   3.76   1.24
 1987 255    77    42  28.8   0.0  28.8  0.00  1.50  71.4  12.4  16.4  1.50  1.50  0.00  0.71   3.99   1.24
 1987 256    78    43  28.8   0.0  28.8  0.00  1.49  71.4  12.3  16.5  1.49  1.49  0.00  0.71   4.24   1.24
 1987 257    79    44  28.8   0.0  28.8  0.00  1.47  71.4  12.2  16.6  1.47  1.47  0.00  0.71   4.49   1.24
 1987 258    80    45  28.8   0.0  28.8  0.00  1.45  71.4  12.1  16.7  1.45  1.45  0.00  0.71   4.74   1.24
 1987 259    81    46  29.3   0.0  29.3  0.00  1.46  71.9  12.2  17.1  1.46  1.46  0.00  0.72   5.01   1.24
 1987 260    82    47  29.3   0.0  29.3  0.00  1.45  71.9  12.1  17.2  1.45  1.45  0.00  0.72   5.27   1.24
 1987 261    83    48  29.3   0.0  29.3  0.00  1.44  71.9  12.0  17.3  1.44  1.44  0.00  0.72   5.55   1.24
 1987 262    84    49  29.3   0.0  29.3  0.00  1.43  71.9  11.9  17.3  1.43  1.43  0.00  0.73   5.83   1.24
 1987 263    85    50  29.3   0.0  29.3  0.00  1.42  71.9  11.8  17.4  1.42  1.42  0.00  0.73   6.12   1.24
 1987 264    86    51  29.3   0.0  29.3  0.00  1.41  72.0  11.8  17.6  1.41  1.41  0.00  0.73   6.42   1.24
 1987 265    87    52  29.5   0.0  29.5  0.00  1.40  72.2  11.7  17.8  1.40  1.40  0.00  0.74   6.72   1.24
 1987 266    88    53  30.1   0.0  30.1  0.00  1.42  72.7  11.9  18.2  1.42  1.42  0.00  0.75   7.03   1.24
 1987 267    89    54  30.3   0.0  30.3  0.00  1.42  72.9  11.9  18.4  1.42  1.42  0.00  0.75   7.34   1.24
 1987 268    90    55  30.5   0.0  30.5  0.00  1.41  73.2  11.8  18.7  1.41  1.41  0.00  0.75   7.67   1.24
 1987 269    91    56  30.7   0.0  30.7  0.00  1.41  73.4  11.8  18.9  1.41  1.41  0.00  0.76   7.99   1.24
 1987 270    92    57  30.9   0.0  30.9  0.00  1.40  73.6  11.8  19.1  1.40  1.40  0.00  0.76   8.33   1.24
 1987 271    93    58  31.1   0.0  31.1  0.00  1.40  73.8  11.8  19.3  1.40  1.40  0.00  0.76   8.67   1.24
 1987 272    94    59  31.3   0.0  31.3  0.00  1.39  74.0  11.7  19.6  1.39  1.39  0.00  0.77   9.02   1.24
 1987 273    95    60  31.5   0.0  31.5  0.00  1.38  74.2  11.7  19.8  1.38  1.38  0.00  0.77   9.37   1.24
 1987 274    96    61  31.6   0.0  31.6  0.00  1.37  74.3  11.6  20.0  1.37  1.37  0.00  0.77   9.74   1.24
 1987 275    97    62  31.6   0.0  31.6  0.00  1.36  74.4  11.5  20.1  1.36  1.36  0.00  0.77  10.10   1.24
 1987 276    98    63  31.7   0.0  31.7  0.00  1.35  74.5  11.5  20.2  1.35  1.35  0.00  0.77  10.48   1.24
 1987 277    99    64  31.8   0.0  31.8  0.00  1.34  74.5  11.4  20.4  1.34  1.34  0.00  0.78  10.86   1.24
 1987 278   100    65  31.8   0.0  31.8  0.00  1.33  74.5  11.3  20.5  1.33  1.33  0.00  0.78  11.24   1.24
 1987 279   101    66  31.8   0.0  31.8  0.00  1.32  74.6  11.2  20.6  1.32  1.32  0.00  0.78  11.64   1.24
 1987 280   102    67  31.9   0.0  31.9  0.00  1.31  74.6  11.2  20.7  1.31  1.31  0.00  0.78  12.04   1.24
 1987 281   103    68  31.9   0.0  31.9  0.00  1.30  74.7  11.1  20.8  1.30  1.30  0.00  0.78  12.44   1.24
 1987 282   104    69  32.0   0.0  32.0  0.00  1.29  74.7  11.1  20.9  1.29  1.29  0.00  0.79  12.85   1.24
 1987 283   105    70  32.0   0.0  32.0  0.00  1.28  74.8  11.0  21.1  1.28  1.28  0.00  0.79  13.27   1.24
